Номер Задачи,Деятельность,Направление,Количество_Пользователей
7357,Разработка,MM - Управление материалами,1
7355,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7349,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7620,Разработка,PP - Производственное планирование,1
7678,Разработка,PP - Производственное планирование,1
7659,Настройка,MM - Управление материалами,1
8562,Разработка,MM - Управление материалами,1
8836,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8835,Разработка,PP - Производственное планирование,1
8788,Разработка,PP - Производственное планирование,1
8786,Разработка,PP - Производственное планирование,1
8782,Разработка,PP - Производственное планирование,1
8734,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8733,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8718,Разработка,MM - Управление материалами,1
8711,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8671,Разработка,MM - Управление материалами,1
8648,Разработка,PP - Производственное планирование,1
8641,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8641,Документирование,ISU - Энергетика и коммунальное хозяйство,1
8632,Разработка,MM - Управление материалами,1
8561,Разработка,MM - Управление материалами,1
8842,Разработка,PP - Производственное планирование,1
8561,Настройка,MM - Управление материалами,1
8552,Разработка,MM - Управление материалами,1
8537,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8512,Разработка,MM - Управление материалами,1
8497,Разработка,PP - Производственное планирование,1
8496,Разработка,MM - Управление материалами,1
8496,Настройка,MM - Управление материалами,1
8494,Разработка,CO - Контроллинг,1
8491,Разработка,PP - Производственное планирование,1
8491,Настройка,PP - Производственное планирование,1
8491,Документирование,PP - Производственное планирование,1
8452,Разработка,CUA - Централизованное управление пользователями,1
8436,Документирование,PP - Производственное планирование,1
8435,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8839,Разработка,PP - Производственное планирование,1
8850,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8388,Разработка,FI - Финансы,1
9194,Разработка,MM - Управление материалами,1
9825,Разработка,MM - Управление материалами,1
9825,Настройка,MM - Управление материалами,1
9778,Разработка,MM - Управление материалами,1
9763,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
9758,Разработка,MM - Управление материалами,1
9668,Разработка,ISU - Энергетика и коммунальное хозяйство,1
9658,Разработка,MM - Управление материалами,1
9487,Разработка,FI - Финансы,1
9380,Разработка,MM - Управление материалами,1
9379,Разработка,MM - Управление материалами,1
9379,Настройка,MM - Управление материалами,1
9379,Документирование,MM - Управление материалами,1
9315,Разработка,PP - Производственное планирование,1
9290,Разработка,MM - Управление материалами,1
9153,Настройка,MM - Управление материалами,1
8851,Разработка,PP - Производственное планирование,1
9079,Разработка,PP - Производственное планирование,1
9056,Настройка,PM - Тех. обслуживание и ремонт оборудования,1
9038,Разработка,MM - Управление материалами,1
9030,Разработка,PP - Производственное планирование,1
8995,Разработка,MM - Управление материалами,1
8959,Разработка,CRM - Управление взаимоотношениями с клиентами,1
8951,Разработка,MM - Управление материалами,1
8933,Разработка,FI - Финансы,1
8923,Разработка,MM - Управление материалами,1
8922,Разработка,MM - Управление материалами,1
8919,Разработка,MM - Управление материалами,1
8919,Настройка,MM - Управление материалами,1
8919,Документирование,MM - Управление материалами,1
8867,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8404,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8388,Документирование,FI - Финансы,1
7673,Разработка,MM - Управление материалами,1
7870,Разработка,PP - Производственное планирование,1
8036,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8020,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8017,Разработка,PP - Производственное планирование,1
7993,Разработка,MM - Управление материалами,1
7968,Разработка,FI - Финансы,1
7953,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7925,Разработка,MM - Управление материалами,1
7912,Разработка,PP - Производственное планирование,1
7904,Разработка,PP - Производственное планирование,1
7897,Разработка,PP - Производственное планирование,1
7897,Документирование,PP - Производственное планирование,1
7878,Разработка,MM - Управление материалами,1
7876,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7874,Разработка,PP - Производственное планирование,1
7870,Документирование,PP - Производственное планирование,1
8040,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7869,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7835,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7832,Разработка,MM - Управление материалами,1
7799,Разработка,PP - Производственное планирование,1
7790,Разработка,FI - Финансы,1
7790,Документирование,FI - Финансы,1
7781,Разработка,MM - Управление материалами,1
7729,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7717,Разработка,PP - Производственное планирование,1
7710,Разработка,PP - Производственное планирование,1
7698,Разработка,FI - Финансы,1
7696,Разработка,MM - Управление материалами,1
10781,Разработка,PP - Производственное планирование,1
7676,Документирование,PP - Производственное планирование,1
8039,Разработка,FI-AA - Основные средства,1
8046,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8371,Разработка,MM - Управление материалами,1
8178,Настройка,MM - Управление материалами,1
8369,Разработка,MM - Управление материалами,1
8366,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8351,Разработка,MM - Управление материалами,1
8335,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8287,Разработка,MM - Управление материалами,1
8287,Настройка,MM - Управление материалами,1
8287,Документирование,MM - Управление материалами,1
8272,Разработка,HCM - Управление персоналом,1
8258,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8235,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8189,Разработка,PP - Производственное планирование,1
8181,Разработка,FI-AA - Основные средства,1
8179,Разработка,MM - Управление материалами,1
8178,Разработка,MM - Управление материалами,1
8124,Разработка,MM - Управление материалами,1
8050,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8124,Документирование,MM - Управление материалами,1
8118,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8118,Документирование,ISU - Энергетика и коммунальное хозяйство,1
