Проект;Исполнитель;Среднее количество слов в задаче;Время затраченное на проект
SAP19026_GIDRO_03- «Функциональное развитие системы управления персоналом ПАО «РусГидро.»;5;4.698412698412699;54.2
SAP22030_NOKT_02 Нокиан  вторая очередь;8;1.9724770642201837;65.0
SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;4;4.055045871559633;152.75
Внутренний проект ТУРБО ТОРО (Mobile);1;4.0;0.02
Доработки 2204 и 2205;1;5.0;16.0
Развитие НУ;5;2.40625;55.0
РусАгро - Штрих-кодирование;8;1.9287531806615776;261.375
