Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
8433,"Корректировка столбцов вкладки ""Затраты"" (карточки ПБС) и бюджетной росписи",СудДеп,,,
8432,"доработка алгоритма программы мониторинга статусов документов, отправленных в ЭДО",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8431,доработка выгрузки данных по заявке 7000355308 (2000092325),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8430,доработка алгоритма программ печати и формирования документов по заявке 7000356322 (2000092597),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8429,"Сервис создания ЭТК, связь ЭТК с отменой приказов", SAP22004_KONS_03 Заработная плата и кадры,,,
8428,Задача RTSK0264217: Отчет Основные средства по компаниям СХБН,РусАгро - Инциденты ,,,
8427,Задача RTSK0264348: Маржинальность полей,РусАгро - Инциденты ,,,
8426,Задача ITSK0617362: АПОР,РусАгро - Инциденты ,,,
8425,Задача ITSK0624878: Отчет по направлениям выгрузки,РусАгро - Инциденты ,,,
8424,Задача RTSK0264345: Маржинальность полей,РусАгро - Инциденты ,,,
8423,Задача RTSK0261250: Логистика (штрихкодирование),РусАгро - Инциденты ,,,
8422,Задача ITSK0622433: Логистика,РусАгро - Инциденты ,,,
8421,Задача 34: Ролевая модель. Предоставить полномочия,РусАгро - Инциденты ,,,
8420,Задача 44: Ролевая модель. Предоставить права доступа,РусАгро - Инциденты ,,,
8419,Задача № 28: Предоставить доступ,РусАгро - Инциденты ,,,
8418,Задача №27: Предоставить полномочия,РусАгро - Инциденты ,,,
8416,СМ 7000356269 (2000092587) ДАМП в ZCLBNK_V3-> Загрузка и обработка банк. выписки ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8415,График распределения ТР, SAP22004_KONS_03 Заработная плата и кадры,,,
8414,CHG0035924 - документирование транзакции ZRE_PS_CRE ,РусАгро - Тех.поддержка,,,
8413,"Корректировка полей блока ""Штатная численность""",СудДеп,,,
8412,CHG0035924 - документирование транзакции ZPM_REP_KEY_PUL,РусАгро - Тех.поддержка,,,
8411,STRY0014390 Корректировка алгоритма контроля кода GTIN ШК,РусАгро - Штрих-кодирование,,,
8410,Разработка ФМ по определению даты и номера АСФ по 6201.А в ZISU_DOC_ASF,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8409,"График учета РВ (План, Факт)", SAP22004_KONS_03 Заработная плата и кадры,,,
8408,"В отчете ""Численность сотрудников"" в карточке СО отсутствует параметр ""Численность уборщиков/дворников""",СудДеп,,,
8407,SN RITM0802546 Cropio,РусАгро - Тех.поддержка,,,
8406,STRY0014209 - Добавление данных в ZMOB004_CPI,РусАгро - ЗНИ,,,
8405,Постановка задачи по обновлению HELP по ТОРО + Тестирование,SAP22006_KONS_04 - Переход на платформу 10.5,,,
8404,CTASK0014067 - разработка интерфейса рейтинга механизаторов,РусАгро - ЗНИ,,,
8403,Доработка ZASF_C6201A_CTRL генерация АСФ по 6201.А и программа замены OPBEL в ZISU_DOC_ASF,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8402,CHG0035924 - документирование транзакции ZSD_VF05 - срок до 25.03.2022,РусАгро - Тех.поддержка,,,
8401,STRY0011706 ТЗ Доработка печатной формы ПУЛ PL01,РусАгро - ЗНИ,,,
8400,Как заполнить Name договора ?, SAP22004_KONS_03 Заработная плата и кадры,,,
8399,"Необходимо дополнение пунктов ТЗ ""Техническая спецификация"", ""Запросы"" ""Объекты"" по проекту штрихкодирование.",РусАгро - Штрих-кодирование,,,
8398,"Необходимо дополнение пунктов ТЗ ""Техническая спецификация"", ""Запросы"" ""Объекты"" по проекту штрихкодирование.",РусАгро - Штрих-кодирование,,,
8397,"Необходимо дополнение пунктов ТЗ ""Техническая спецификация"", ""Запросы"" ""Объекты"" по проекту штрихкодирование.",РусАгро - Штрих-кодирование,,,
8396,"Распределение оплат УУ в отчете ZISU_UU_613_2020, SM 2000091998, 2000092455",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8395,Больничный не загружается в WEB(в десктопе загружается), SAP22004_KONS_03 Заработная плата и кадры,,,
8394,Приказ о предоставлении отпуска(негрупповой) допускает вторую позицию, SAP22004_KONS_03 Заработная плата и кадры,,,
8393,В приказе о приеме на работу ошибка  в столбце Разряд, SAP22004_KONS_03 Заработная плата и кадры,,,
8392, RTSK0262303 ошибка в работе программы ZPP_PODRABOTKA,РусАгро - Тех.поддержка,,,
8391,СМ (2000092332)  ZISU_SELL_BOOK_ADD13 - Доп лист книги продаж 2013 по ККС 8057071 - дата и номер АСФ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8390,Описать алгоритм выборки и фильтрации данных Z_BAL_CLACC Отчет по остаткам денежных средств,РусАгро - Тех.поддержка,,,
