#;Проект;Тема;Подзадачи;Связанные задачи
11074; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Добавить фильтрацию для модуля ""Обслуживание и ремонт оборудования"" в соответствии с данными в карточке пользователя";#11081;""
11073;NIS Сербия SAP23006_NPS_01  ;CR 15 SD626969 Создание и расчёт общих соглашений о скидках в транзакциях VBO1, ZVBO1_W;"";""
11072;NIS Сербия SAP23006_NPS_01  ;Инцидент 792022;"";""
11071; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"На вэб-клиенте при переходе на вкладку ""Документы"" в карточке ""Договор"" появляется уведомление об ошибке";"";""
11070; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Ошибка при открытии справочников ""Журнал ДТП"" и ""Журнал учета ГСМ"" ";"";""
11069;Белгородская индейка;Создание нумератора для форм первички;"";""
11068;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг - разработка Режима по закрытию периода формирования налоговой отчетности;"";""
11067;Белгородская индейка;Настройка выгрузки в XML файл для загрузки в 1С;"";""
11066; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Изменить способ ввода значения для характеристики ЕО с признаком ""Да/Нет""";"";""
11065; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"В карточке ""Объекта обслуживания"" не отображается наименование кнопок";"";""
11064; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Не работает панель фильтра в картотеках ;"";""
11063;NIS Сербия SAP23006_NPS_01  ; 689202 Опекс октябрь. Изменение  тр. FB02;"";""
11059; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Запретить выбор группы в поле ""Подразделение"" в карточке ""Договора""";"";""
11058;ФК Зенит;Консолидированный план закупок;"";""
11057;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Доработка алгоритма выбора вложений при согласовании карточки через эл. почту по заявке 2000109929 (7000414903) ;"";""
11056;NIS Сербия SAP23006_NPS_01  ;CR726645 (CAPEX) Расширение Z_PRINTMNG для БЕ1430;"";""
11055; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Некорректная работа ползунка в подтаблицах на вкладке ""Документы"" в карточки ""Объекта имущества""";"";""
11054; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Ошибка на вкладке ""Договоры"" в карточке ОИ (декстоп версия)";"";""
11052;Белгородская индейка;Расширение аналитики в проводках;"";""
11051;РусАгро - ЗНИ;SH-334 Добавление проверок при создании ПУЛ (АРМ Планирования, ZPM_WBM);"";""
11050;РусАгро - ЗНИ;SH-334 АРМ Планирования (бэк);"";""
11049;NIS Сербия SAP23006_NPS_01  ;CR6 539327 / SD : Доработка нового ценового условия на основе уже существующего;"";""
11048;ФК Зенит;Справочник Перечень утверждающих органов;"";связана с #11046
11047;ФК Зенит;Справочник Статусы плана закупок;"";связана с #11046
11046;ФК Зенит;Разработка класса и формы для Плана подразделений (плана закупок) ;"";связана с #11048, связана с #11047, связана с #11079, связана с #11088, связана с #11104
11044;Белгородская индейка;ТУРБО БИ - Разработка нового функционала автоматического заполнения поля ;"";""
11043;Белгородская индейка;ТУРБО БИ - Разработка функционала Отгрузка ТМЦ для мобильного приложения;"";""
11042; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Исправить вывод значения ""Год выпуска"" в карточке ""Автотранспорт"" на вэб-клиенте";"";""
11041;NIS Сербия SAP23006_NPS_01  ;CR 705769: интеграция с Maximo, отчёт для проверки результата интеграции;"";скопирована с #10533
11040;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Добавить проверку дат в карточке ""Приемки""";"";""
11039;РусАгро - ЗНИ;РА-ТЗ-ЛОГ-170_SHLOG-277_MM_АРМ Доработка функционала ;"";""
11038; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Требуется добавить проверку на включение ""Заявки на обслуживание"" в ""Годовой план работ""";"";""
11037;РусАгро - ЗНИ;SHLOG-277.АРМ ВЕСОВЩИК (ЗПП-28, реализация вывода ошибок перевеса);"";""
11036;Белгородская индейка;ТУРБО Фудтех - Доработка форм и отчетов;"";""
11035;Белгородская индейка;ТУРБО БИ - функционал автоматического подбора Сырья;"";""
11034;Белгородская индейка;ТУРБО БИ - доработка в документе Резервирования;"";""
11033;NIS Сербия SAP23006_NPS_01  ;CR 580358;"";""
11032;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Доработка ФМ получения и распределения оплат в соглашения;"";""
11028;Белгородская индейка;ТУРБО БИ - срыть информацию о документе Сборки;"";""
11027;ФК Зенит;Ошибка при создании заявки на оплату из карточки договора;"";""
11026;Белгородская индейка;"Доработка карточки ""Сотрудник""";"";""
11025;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-157 и OPTIS-247;#11166;""
11024;NIS Сербия SAP23006_NPS_01  ;CR10 (646478, 640071, 624520) Улучшение XML (тр. Z_PRINTMNG);"";""
11023;Белгородская индейка;В договоре продаж пересчитать долг;"";""
11022;Белгородская индейка;"ТУРБО Фудтех - Разработка отчета ""Реализация продукции и Анализ ГП""";"";""
11021;Белгородская индейка;"Турбо Фудтех - Доработка карточки ""Отгрузка ТМЦ"" ";"";""
11020;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В отчетах по заявкам на обслуживание и по приемках работ добавить нумерацию заявок/приемок;"";""
11019;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Закрыть от обычных пользователей справочники Операции, Технологические карты, Тарифы и нормы, Классификатор;"";""
11018;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В документе эксплуатации для контрагента поле Договор сделать обязательным;"";""
11017; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Принцип установки ""замка"" в карточках ""Путевой лист""";"";""
11016;NIS Сербия SAP23006_NPS_01  ;Инцидент 768599.;"";""
11014;Белгородская индейка;"ТУРБО Фудтех - Разработка отчета ""Остатки на складе""";"";""
11013;NIS Сербия SAP23006_NPS_01  ;Оценка трудоемкости_725824;"";""
11012;SAP22030_NOKT_02 Нокиан  вторая очередь;МР v.1.4.1.7 (OPTIS-412) Ошибки при переходе с десктопа на мобилку;"";""
11011;NIS Сербия SAP23006_NPS_01  ;CR 609123 / SD : Реализовать замену полей в формах V.2.0;"";скопирована с #10813
11010;Белгородская индейка;Скрыть документ Оплаты из УЦП (Получение оплаты от покупателя);"";""
11009;Белгородская индейка;"Турбо Фудтех - Доработка карточки ""Перемещение ТМЦ""";"";""
11006;Белгородская индейка;"ТУРБО Фудтех - Разработка отчета ""Ведомость по товарам на складе""";"";""
11005;SAP22030_NOKT_02 Нокиан  вторая очередь;МР v1.4.1.7. (OPTIS-413) Пропадает склад после некорректного закрытия приложения;"";""
11004;SAP22030_NOKT_02 Нокиан  вторая очередь;МР V1.4.1.7 Ошибки в работе (родительская задача);#11005, #11007, #11012;""
11003;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Доработка формирования данных в расчетно-платежных документах по заявке 2000109737 (7000414231);"";""
11001;Белгородская индейка;ТУРБО БИ - ошибка Наименования продукции;"";""
11000;Белгородская индейка;"ТУРБО Фудтех - Некорректное построение отчета ""ОСВ по ТМЦ""";"";""
10999;Белгородская индейка;ТУРБО Фудтех - Ошибка при создании договора продажи;"";""
10998;РусАгро - ЗНИ;РА-ТЗ-ЛОГ-170_SHLOG-277_MM_АРМ Весовщика Автоматическое разбиение документа при перегрузе транспортного средства;"";""
10997;Белгородская индейка;ТУРБО БИ - ошибка в документе Сделки;"";""
10994;NIS Сербия SAP23006_NPS_01  ;CR 696454 Добавить Завод в документы формируемые транзакцией ZINT_PRICEB ;"";""
10993;Белгородская индейка;Учет времени для синхронизации часов СУРВ - Редмайн: созвоны, изучение материала и т.д;"";""
10992;Белгородская индейка;Формирование фискального чека из документа Эквайринговая операция ;"";""
10991;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Изменить алгоритм заполнения поля ТМ при создании связанного ОО;"";""
10990;NIS Сербия SAP23006_NPS_01  ;CR11 651230 Obezbeđenje XML formata za slanje kamatnih obračuna iz SAP-a u SEF.;"";""
10989;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Изменения на форме Приемки работ;"";""
10988;Белгородская индейка;Проводки по документам Отгрузки и оплат;"";""
10987;Белгородская индейка;Формирование фискального чека из Отгрузки ТМЦ;"";""
10986;Белгородская индейка;Привязка документов к счету;"";""
10985;Белгородская индейка;"Доработка карточки ""Юридическое лицо""";"";""
10983;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Изменения на форме Объекта обслуживания;"";""
10981;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Добавить название отчета при выгрузке в файл (Универсальный отчет по ОН);"";""
10980;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В отчетах по заявкам и по приемкам добавить заголовок для табличной группировки;"";""
10978;РусАгро - ЗНИ;SH-333 Доработка импорт-функции GetTekhnologia;"";""
10977;NIS Сербия SAP23006_NPS_01  ;685127;"";""
10976;NIS Сербия SAP23006_NPS_01  ;CR723339 Оценка. Внесение изменений в Название материала в XML (Z_PRINTMNG);"";""
10975;NIS Сербия SAP23006_NPS_01  ;CR6 539327 / SD : Разработка нового ценового условия на основе уже существующего;"";скопирована с #10851
10974;РусАгро - ЗНИ;SHLOG-203 Корректировка IDoc ZRFIDEQUI (поле MATNR) при создании\изменении единиц оборудования.;"";""
10973;NIS Сербия SAP23006_NPS_01  ;Инцидент ( реквест) 780496. transport errors on SBX143 for CR270;"";""
10970;ФК Зенит;"Ошибка при открытии формы ""Банковские выписки"" в модуле ""Казначейство""";"";""
10969;NIS Сербия SAP23006_NPS_01  ;CR no 18 (726660);"";""
10967;РусАгро - Тех.поддержка;SHLOG-240 доработка трех отчетов;"";""
10966;NIS Сербия SAP23006_NPS_01  ;CR no.13 (657205,651498) Automation of importing VAT records to SEF;"";""
10965;ФК Зенит;Нельзя создать кассу;"";""
10964;Белгородская индейка;"ТУРБО Фудтех - Доработка карточки ""Склад""";"";""
10963;ФК Зенит;Изменение выбора предприятия в карточке ЦФО;"";""
10962;NIS Сербия SAP23006_NPS_01  ;CR 717556 - Оценка. Необходимо реализовать выгрузку данных из таблиц SAP в шаблон Excel;"";""
10961;Белгородская индейка;ТУРБО Фудтех - Доработка справочника ВСД;"";""
10959;Белгородская индейка;ТУРБО Фудтех - Доработка форм и документов ТУРБО;"";""
10958;ФК Зенит;"Доработка формы ""Лимиты бюджета""  в модуле ""Бюджетный контроль""";"";связана с #10957
10957;ФК Зенит;"Доработка вкладки ""Бюджетный контроль"" записей справочника ""Наши предприятия""";"";связана с #10958
10956;ФК Зенит;"Доработка справочника ""Проекты""";"";""
10955;SAP22030_NOKT_02 Нокиан  вторая очередь;Восстановление работоспособности мобильного приложения после обновления по Пакету 3;"";""
10954;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-239;#11121;""
10953;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Изменение срока оплаты после отмены выравнивания;"";""
10952; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"При открытии справочника ""Материалы"" из карточки ОИ ТУРБО встает";"";""
10951;Белгородская индейка;"Эквайринг. Создание документа ""Эквайринговая операция""";"";""
10950;NIS Сербия SAP23006_NPS_01  ;Оценка. CRM 734715;"";""
10949;РусАгро - ЗНИ;SHLOG-286 Медленная работа силосной доски.;"";""
10947;РусАгро - Тех.поддержка;ЗНИ SHFIN-355 Внесение изменений в карточку выдачи СИЗ;"";""
10946;Белгородская индейка;ТУРБО Фудтех - ошибка в документе Приема из производства ;"";""
10944;ФК Зенит;Доработка записей справочника Мероприятие;"";""
10943;NIS Сербия SAP23006_NPS_01  ;RQ 758229 - корректировка/дополнение по проекту «Модель учета мониторинга договоров лизинга в соответствии с МСФО16».;"";""
10942;NIS Сербия SAP23006_NPS_01  ;SD 757087 Замена счёта банка в выходных и электронных формах;"";скопирована с #10861
10941;Белгородская индейка;Эквайринг (Договоры эквайринга, Эквайринговые терминалы);"";""
10940;Белгородская индейка;"ТУРБО Фудтех - Доработка карточки ""Списание ТМЦ"" ";"";""
10939;Белгородская индейка;"ТУРБО Фудтех - Доработка карточки ""Передача в производство""";"";""
10938; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Исправить функционал подбора ""Заявок на работы"" и ""Приемок"" по договору на вкладке ""Связанные заявки и приемки""";"";""
10937;NIS Сербия SAP23006_NPS_01  ;Оценка ЗНИ 575114;"";""
10936;Белгородская индейка;ТУРБО Фудтех - Ошибка при формировании возврата от покупателя;"";""
10935;РусАгро - ЗНИ;РА-ТЗ-ЛОГ-170_SHLOG-277_MM_АРМ Весовщика Автоматическое разбиение документа при перегрузе транспортного средства;"";""
10933; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Вернуть переход на форму ОИ из карточки договора (запрос IM10309032);"";""
10932;NIS Сербия SAP23006_NPS_01  ;RFC 1139160 CRM OPEX;"";""
10931;Белгородская индейка;ТУРБО Фудтех - Доступ к Меркурию;"";""
10929;Белгородская индейка;ТУРБО Фудтех - Ошибка при создании перемещения из приёмки;"";""
10928;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Анализ ошибки, возникающей при вызове GOS меню в претензии по заявке 2000109323 (7000412504);"";""
10926; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Скрыть пункт в заявке на обслуживание (запрос IM10236735);"";""
10925;NIS Сербия SAP23006_NPS_01  ;Opex september 748813.  « analiz i korekciju programa za slanje kompenzacija u SCMS sistem» ;"";""
10924;Белгородская индейка;Создать картотеку Счет на оплату;#11111;""
10923; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Исправить работу вставки значения (заявки IM10249882 и IM10210866 );"";""
10922;Белгородская индейка;ТУРБО Фудтех - Неправильный пересчет ГП в партии;"";""
10921;Белгородская индейка;Выделить ККТ в отдельный проект;"";""
10918;РусАгро - Тех.поддержка;SHLOG-162 Доп. требования - автоматический выбор ПФМ для заказов и заявок;"";""
10916;РусАгро - Тех.поддержка;SH-434 - Доработка транзакции ZPP SYNC OPER в части добавления расчетных колонок в таблицу;"";""
10915; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Некорректная работа отчета объектов по ФО в разрезе регионо;"";""
10914;NIS Сербия SAP23006_NPS_01  ;CR 763913 - Оценка. Необходимо изменить логотип компании на печатных формах;"";""
10913;ФК Зенит;Доработка формы договора;"";""
10912;ФК Зенит;Добавить справочник Признаки договоров;"";""
10911;NIS Сербия SAP23006_NPS_01  ;626969 / SD : ZVBO1_W;"";""
10910;Белгородская индейка;Карточка Движение по банку;"";""
10909; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Некорректно работает нумератор;"";""
10908;ФК Зенит;Доработка и интеграция справочника Мероприятия.;"";""
10907; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Нет возможности создания/редактирования договоров (запросы IM10245720 и IM10245123);"";""
10906; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Исправить работу выгрузки печатной формы для ОИ (запрос IM10236735);"";""
10905;NIS Сербия SAP23006_NPS_01  ;CR 762474: удаление банковских инструкций в печатных формах;"";""
10904;РусАгро - ЗНИ;SHLOG-277 АРМ весовщика: поля дата+время и неполная разгрузка для операции R01;"";""
10903;Белгородская индейка;"ТУРБО Фудтех - Доработка карточки ""Перемещение ТМЦ"" доработка";"";""
10902;РусАгро - ЗНИ;SHLOG-203 Расширение функционала транзакции ZMM_TMC_STOR.;"";""
10901;Белгородская индейка;ТУРБО Фудтех - Ошибка при создании документа приёма из производства;"";""
10900;NIS Сербия SAP23006_NPS_01  ;CR 761831 - Оценка. Доработка Z_PRINTMNG (расширение на БЕ 1520);"";""
10899;Белгородская индейка;ТУРБО Фудтех - Разработка мобильного приложения, функционал Приём из производства + Перемещение, дополнения и исправления;"";""
10897; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Затраты в картотеке и карточке годового плана отображаются некорректно (на основе IM10235551 и IM10660093);"";""
10896;Белгородская индейка;ТУРБО Фудтех - Доработка карточки ТМЦ;"";""
10894; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Исправить работу доп. соглашения в договоре;"";""
10892; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Добавить выгрузку в отчет по заявка на работу;"";""
10891; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Работы с отчетностью ;"";""
10890; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Обновление продуктивной и предпродуктивной систем заказчика ;"";""
10889;NIS Сербия SAP23006_NPS_01  ;RQ 566398 автоматизация части выписки по балансовой единице 1520.;"";""
10888;Белгородская индейка;Формирование партии;#10790;""
10887;Белгородская индейка;Реализация;#10790, #10888;""
10886;РусАгро - ЗНИ;SH-333 Доработка импорт-функции GetTechFieldGroups;"";""
10885;Белгородская индейка;"ТУРБО Фудтех - Некорректное создание документа ""Отгрузка ТМЦ покупателю"" (оплата)";"";""
10884;Белгородская индейка;"ТУРБО Фудтех - Некорректное создание документа ""Отгрузка ТМЦ покупателю""";"";""
10883;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Изменение условия в распределении платежей для '07' 17-19гг;"";""
10882;Белгородская индейка;ТУРБО Фудтех - Некорректное отображение сделок продажи.;"";""
10880; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Требуется добавить проверку на заполнение полей в карточке ""Заявки на обслуживание""";"";""
10878;NIS Сербия SAP23006_NPS_01  ;CR 678372 - неверно подтягивается расчетный счет;"";""
10877;NIS Сербия SAP23006_NPS_01  ;CR 471045 /SD Замена в печатной форме пустого текста из фактуры на текст договора;"";""
10876; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Требуется изменить алгоритм расчета площадей в отчете ""Структура площадей по ФО, м2""";"";""
10873;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Исправить формат даты в печатной форме Отчета по размещению в многоквартирных домах;"";""
10872;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;В документе МГН разрешить вводить значение количества лифтов;"";""
10871;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Исправить работу ""Годовых планов работ""";"";""
10870;Белгородская индейка;ТУРБО Фудтех - Ошибка при построении отчета из управления договорами;"";""
10869;РусАгро - Тех.поддержка;РА-ТЗ-ЛОГ-195 Разработка, доработка функционала транзакции ZJ3RFUTDIN Номер предшествующего документа;"";""
10868;NIS Сербия SAP23006_NPS_01  ;CR 762474 Оценка: удаление банковских инструкций в печатных формах;"";""
10867;Белгородская индейка;создать картотеку «Сверки взаиморасчетов»;"";""
10866; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Вернуть скрол в табличной части блока ""Работы""  на вкладке ""Основное"" в карточке ""Заявки на обслуживание"" (на основание заявки IM10194306 и 10191169) ";"";""
10865; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Вернуть скрол в табличных частях ""График поставок/отгрузок товаров/услуг"" и ""График платежей/поступлений""  на вкладке ""Финансовые условия"" в карточке ""Договор"" (на основание заявки IM10199133) ";"";""
10864; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;"Требуется исправить работу отчета ""Реестр объектов имущества""";"";""
10862;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Ошибка в отчете 7.7КР при формировании за районные;"";""
10861;NIS Сербия SAP23006_NPS_01  ;SD 757087 Замена счёта банка в выходных и электронных формах;"";скопирована в #10942
10860;Белгородская индейка;ТУРБО Фудтех - Мобильное приложение (Приём и перемещение);"";""
10859;Белгородская индейка;ТУРБО Фудтех - Доработка приёма из производства и производственной партии;"";""
10858;Белгородская индейка;"ТУРБО Фудтех - Ошибка при создании документа ""Внутреннее перемещение ТМЦ""";"";""
10857;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Ошибка работы отчета 7.7Т ;"";""
10855;Белгородская индейка;"ТУРБО Фудтех - ошибка ""Списание ТМЦ""";"";""
10854;NIS Сербия SAP23006_NPS_01  ;IN 705769  Ошибка при обработке IDOC;"";скопирована с #10699
10853; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;"Добавить проверку по виду работ для ""Годового плана по подразделению"" (запрос IM10116628 )";"";""
10852;РусАгро - ЗНИ;SH-334 Реализация проверок при создании заказов через АРМ Планирования и тр. ZPM_WBM;"";""
10851;NIS Сербия SAP23006_NPS_01  ;CR6 539327 / SD : Разработка нового ценового условия;"";скопирована в #10975
10850;Белгородская индейка;Интеграция Эквайринга для передачи данных ККТ;"";""
10849; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Требуется изменить работу функционала формирования карточек Годового плана (основание запрос IM10157996);"";""
10848;РусАгро - ЗНИ;SHLOG-203 Настройка загрузки данных в ;"";""
10846;NIS Сербия SAP23006_NPS_01  ;RQ 604238	CMDB interface+ отчет;"";""
10845;РусАгро - Тех.поддержка;SHLOG-203 Доработка работоспособности функционала ТСД.;"";""
10844;Белгородская индейка;"ТУРБО Фудтех - Доработка карточки ""Перемещение ТМЦ""";#10903;""
10843;РусАгро - Тех.поддержка;INC000000934643 Автоматическое деблокирование заказов вида UL01 в ZPM_WBM.;"";""
10842;РусАгро - Тех.поддержка;SHLOG-203 Добавление новых полей в IDoc ZRFIDMATNR.;"";""
10841;NIS Сербия SAP23006_NPS_01  ;Incident 765280 ;"";""
10840;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Исправить ошибки в отчете Сведения о доступности для МГН зданий судов/УСД;"";""
10839;NIS Сербия SAP23006_NPS_01  ;IN761484 Ошибка при отправке СФ в SEF;"";""
10838;NIS Сербия SAP23006_NPS_01  ;764535  Procena za novi logo FI štampane forme u kompaniji HIP ;"";""
10837;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Исправить хинты и текст ошибки в карточке ОО;"";""
10836;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Скрыть столбец Код (по умолчанию) в картотеках модуля Ремонтов;"";""
10835; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Не передаются данные в уточняющие отчеты;"";""
10833; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Расширить аналитики при учете затрат;"";""
10832;Белгородская индейка;"ТУРБО Фудтех - ошибка Реестр ""Сборка""";"";""
10831;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Доработка алгоритма формирования документа Счет в транзакции печати РПД по заявке 2000108660 (7000410446);"";""
10828; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Отображения изображений в карточке объекта (основание, запрос IM10115482);"";""
10826;NIS Сербия SAP23006_NPS_01  ;CR 758657 . Оценка + разработка;"";""
10825;РусАгро - Тех.поддержка;"INC000000922505 Ошибка отображения механизатора в АРМ ""Балансировка сельхоз техники"".";"";""
10824;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг -Разработка пользовательского интерфейса корректировки данных;"";""
10823;Белгородская индейка;Загрузка из клинт-банка;"";""
10822;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-38;"";""
10821;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-199;"";""
10820;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-37;"";""
10819; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Ошибка построения отчета по СБК в объекте имущества ;"";""
10817;РусАгро - Тех.поддержка;Сервис odata GetNorms не возвращает нормы выработки наемных комбайнов для части полей.;"";""
10816;Белгородская индейка;"ТУРБО Фудтех - Доработка карточки ""Возврат ТМЦ от Покупателя""";"";""
10815;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Удалить блок ""Оборудование здания/сооружения"" в печатной форме карточек здания и сооружения";"";""
10814;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Добавить хинт к ячейке Лифт документа МГН;"";""
10813;NIS Сербия SAP23006_NPS_01  ;CR 609123 / SD : В программе ZSD_PRINTMNG, заменять BT-12 информацией из ZSD_T_VBAOKA-DELBROJ, вместо VBKD-BSTKD если поле не пустое;"";скопирована в #11011
10811;NIS Сербия SAP23006_NPS_01  ;CR 2 (1170734) CAPEX;"";""
10810;Белгородская индейка;ТУРБО Фудтех - Доработка карточки Отгрузка ТМЦ покупателю;"";""
10808;Белгородская индейка;"ТУРБО Фудтех - доработка карточки ""Приемка из производства""";"";""
10807;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-40;"";""
10806;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-64;"";""
10801;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;При сохранении карточки ОН неверно отрабатывает проверка суммарных площадей по документам эксплуатации;"";""
10800;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Сделать хинты к полям карточки;"";""
10799;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-110 (мобильное решение);"";""
10798;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-110 (десктопная часть);"";""
10797;SAP22030_NOKT_02 Нокиан  вторая очередь;OPTIS-92 и OPTIS-141;#11165;""
10795; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;В отчете Перечень объектов недвижимого имущества сделать множественный выбор;"";""
10794;Белгородская индейка;ТУРБО 10.51 Фудтех - Доработка интеграции ТУРБО с системой Меркурий при оформлении транспортной партии;"";""
10793;NIS Сербия SAP23006_NPS_01  ;CR 4 (1144154);"";""
10791; =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;Ошибка при создании плана по подразделению.;"";""
10790;Белгородская индейка;ТУРБО 10.51 ФудТех - Срок годности партии при приёме из производства;"";""
10789;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг -Доп лист ниги покупок, таблица БД;"";""
10788;SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.;Налоговый мониторинг -Доп лист книги продаж, таблица БД;"";""
