#;Проект;Тема;Подзадачи;Связанные задачи
10655; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Удаление документов БДР при удалении строки договора;"";""
10654; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Скрыть видимость пунктов меню Договоры и отчеты по договорам;"";""
10653;NIS Сербия SAP23006_NPS_01  ;CR No. 3 (422410) - Automatic import of the European Central Bank (ECB) exchange rate for EuroDollar  into the SAP system;"";""
10652;NIS Сербия SAP23006_NPS_01  ;SD 1138624 добавить в печатные формы номер счёта банка по примеру;"";""
10651; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;"Добавить в роли на вкладке ""Контроль"" ограничение по Подразделению";"";""
10650;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;OPTIS-356. Активная сессия у некоторых пользователей более 12 часов.;"";""
10649; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Добавить отчеты в ролевой центр;"";""
10648;NIS Сербия SAP23006_NPS_01  ;CR 726660/CO БЕ1430 Petrohemija SAP implementation;"";""
10647;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Разработать пакетник для заполнения картотеки ""Технологические карты""";"";""
10646; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ограничение выборки в отчетах по филиалу пользователя;"";""
10645;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Убрать проверку на заполнение поля ""Сумма"" в карточке Заявки";"";""
10644;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Убрать запрет откатывания единственной проводки степени использования;"";""
10643;NIS Сербия SAP23006_NPS_01  ;SD 603284 V2 добавить в печатные формы номер исходящей поставки по примеру;"";""
10642;NIS Сербия SAP23006_NPS_01  ;CR 592616 V2 добавить в печатные формы данные банка и изменить нумерацию страниц с i на 1;"";""
10641;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;Разработать пакетник на создание операций по осенне-зимнему периоду;"";""
10639;Белгородская индейка;Ошибка при открытии Отчета ОстаткиТМЦ_Партия_ПроизводственныеЗаказы;"";""
10638;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;OPTIS-354. Загрузка техкарт;"";""
10637;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;Интеграция;"";""
10636; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибка в карточках Объектов имущества;"";""
10635; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибки в отчетах;"";""
10634;=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;"Доработка вида работ ""Эксплуатация в осенне-зимний период""";"";""
10633;NIS Сербия SAP23006_NPS_01  ;"697438 Добавить столбец ""номер материала поставщика"" в отчет me5j";"";""
10631;Белгородская индейка;Корректировка полей в сделке продажи;"";""
